على أي فكرة علمية يعتمد عمل الأميتر الحراري؟,يعتمد على الأثر الحراري للتيار الكهربائي.
لماذا تُصنع سلك الأميتر الحراري من سبيكة البلاتين والإيريديوم؟,لأنها تتمدد بمقدار محسوس عند رفع درجة حرارتها.
ما هي الوظيفة الأساسية للأميتر الحراري؟,قياس شدة التيار المستمر والقيمة الفعالة للتيار المتردد.
لماذا يكون تدريج الأميتر الحراري غير منتظم؟,لأن كمية الحرارة المتولدة تتناسب طردياً مع مربع شدة التيار ($P_w \propto I^2$).
متى يستقر مؤشر الأميتر الحراري عند قراءة معينة؟,عندما تتساوى كمية الحرارة المكتسبة في الثانية مع كمية الحرارة المفقودة (اتزان حراري).
كيف يمكن التغلب على الخطأ الصفر في الأميتر الحراري الناتج عن حرارة الجو؟,بشد السلك على لوحة لها نفس معامل تمدد السلك مع عزله عنها كهربائياً.
قارن بين سرعة استجابة الأميتر الحراري والأميتر ذو الملف المتحرك.,الأميتر الحراري أبطأ في التحرك وفي العودة للصفر.
ما هو سبب عدم صلاحية أميتر الملف المتحرك لقياس التيار المتردد؟,بسبب التغير المستمر في اتجاه وشدة التيار، مما يمنعه من الاستقرار بسبب القصور الذاتي.
ما المقصود بالمفاعلة الحثية ($X_L$)؟,الممانعة التي يلقاها التيار المتردد في الملف بسبب حثه الذاتي.
اكتب العلاقة الرياضية للمفاعلة الحثية بدلالة التردد ومعامل الحث.,$X_L = 2\pi fL$
ماذا يحدث للمفاعلة الحثية لملف عند توصيله بمصدر تيار مستمر؟,تصبح المفاعلة الحثية صفراً لأن تردد التيار المستمر صفر ($f=0$).
لماذا لا يستهلك الملف النقي ($R=0$) طاقة كهربائية؟,لأنه يخزن الطاقة في صورة مجال مغناطيسي ثم يعيدها للدائرة.
في دائرة تحتوي على ملف حث عديم المقاومة، ما العلاقة الطورية بين الجهد ($V$) والتيار ($I$)؟,الجهد يسبق التيار بزاوية طور مقدارها $90^{\circ}$ (ربع دورة).
ما تأثير زيادة تردد التيار للضعف على المفاعلة الحثية؟,تزداد المفاعلة الحثية للضعف ($X_L \propto f$).
لماذا يعمل الملف كمفتاح مفتوح عند الترددات العالية جداً؟,لأن المفاعلة الحثية تزداد جداً فتمنع مرور التيار.
ما المقصود بالمفاعلة السعوية ($X_C$)؟,الممانعة التي يلقاها التيار المتردد في المكثف بسبب سعته.
اكتب القانون المستخدم لحساب المفاعلة السعوية.,$X_C = \frac{1}{2\pi fC}$
ما هي العلاقة الطورية بين الجهد والتيار في دائرة المكثف فقط؟,التيار يسبق الجهد بزاوية طور مقدارها $90^{\circ}$ (ربع دورة).
